Pre,Rec,Acc,F1
0.47619047619047616,0.23333333333333334,0.48833333333333334,0.3131991051454139
0.47619047619047616,0.23333333333333334,0.48833333333333334,0.3131991051454139
0.4755244755244755,0.22666666666666666,0.48833333333333334,0.30699774266365687
0.4797297297297297,0.23666666666666666,0.49,0.3169642857142857
0.48,0.24,0.49,0.32
0.47586206896551725,0.23,0.48833333333333334,0.31011235955056177
0.48299319727891155,0.23666666666666666,0.49166666666666664,0.3176733780760626
0.4863013698630137,0.23666666666666666,0.49333333333333335,0.3183856502242153
0.48299319727891155,0.23666666666666666,0.49166666666666664,0.3176733780760626
0.46853146853146854,0.22333333333333333,0.485,0.30248306997742663
0.4863013698630137,0.23666666666666666,0.49333333333333335,0.3183856502242153
0.47619047619047616,0.23333333333333334,0.48833333333333334,0.3131991051454139
0.4797297297297297,0.23666666666666666,0.49,0.3169642857142857
0.47586206896551725,0.23,0.48833333333333334,0.31011235955056177
0.46853146853146854,0.22333333333333333,0.485,0.30248306997742663
0.4726027397260274,0.23,0.4866666666666667,0.3094170403587444
0.4797297297297297,0.23666666666666666,0.49,0.3169642857142857
0.4864864864864865,0.24,0.49333333333333335,0.3214285714285714
0.48299319727891155,0.23666666666666666,0.49166666666666664,0.3176733780760626
0.48299319727891155,0.23666666666666666,0.49166666666666664,0.3176733780760626
0.4689655172413793,0.22666666666666666,0.485,0.3056179775280899
0.47368421052631576,0.24,0.4866666666666667,0.3185840707964602
0.4791666666666667,0.23,0.49,0.3108108108108108
0.47619047619047616,0.23333333333333334,0.48833333333333334,0.3131991051454139
0.4797297297297297,0.23666666666666666,0.49,0.3169642857142857
0.48299319727891155,0.23666666666666666,0.49166666666666664,0.3176733780760626
0.46621621621621623,0.23,0.48333333333333334,0.3080357142857143
0.4825174825174825,0.23,0.49166666666666664,0.3115124153498871
0.4859154929577465,0.23,0.49333333333333335,0.3122171945701358
0.48175182481751827,0.22,0.49166666666666664,0.30205949656750575
0.48951048951048953,0.23333333333333334,0.495,0.3160270880361174
0.4852941176470588,0.22,0.49333333333333335,0.30275229357798167
0.48175182481751827,0.22,0.49166666666666664,0.30205949656750575
0.4740740740740741,0.21333333333333335,0.48833333333333334,0.2942528735632184
0.4857142857142857,0.22666666666666666,0.49333333333333335,0.3090909090909091
0.4892086330935252,0.22666666666666666,0.495,0.3097949886104784
0.4859154929577465,0.23,0.49333333333333335,0.3122171945701358
0.4892086330935252,0.22666666666666666,0.495,0.3097949886104784
0.4859154929577465,0.23,0.49333333333333335,0.3122171945701358
0.46715328467153283,0.21333333333333335,0.485,0.2929061784897025
0.4748201438848921,0.22,0.48833333333333334,0.3006833712984055
0.4857142857142857,0.22666666666666666,0.49333333333333335,0.3090909090909091
0.4892086330935252,0.22666666666666666,0.495,0.3097949886104784
